area,prov,dist,nchild,area_name,childreneverborn,rowtotal,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
10,0,0,-1,"Nepal","Total",6145038,213320,920664,1170480,1120279,1080094,903283,736918
10,0,0,0,"Nepal","No Children/No Birth",736498,122042,254229,151067,71740,45076,41330,51014
10,0,0,1,"Nepal","1 Children",1419503,76584,417521,396715,237650,137362,88847,64824
10,0,0,2,"Nepal","2 Children",2027343,12585,196142,414641,461264,425525,313679,203507
10,0,0,3,"Nepal","3 Children",1100021,1718,43311,151933,220119,265025,232625,185290
10,0,0,4,"Nepal","4 Children",508747,339,8026,43500,88127,126840,125769,116146
10,0,0,5,"Nepal","5 Children",211983,52,1238,9749,28894,51116,58849,62085
10,0,0,6,"Nepal","6 Children",86725,0,185,2389,9025,19016,25545,30565
10,0,0,7,"Nepal","7 Children",33660,0,12,486,2503,6726,10194,13739
10,0,0,8,"Nepal","8 Children",14378,0,0,0,850,2665,4485,6378
10,0,0,9,"Nepal","9 & More Children",6180,0,0,0,107,743,1960,3370
21,0,0,-1,"Urban Munipalities","Total",4134946,125392,578051,788603,778242,748788,620764,495106
21,0,0,0,"Urban Munipalities","No Children/No Birth",500645,72723,167923,111614,53794,32483,28390,33718
21,0,0,1,"Urban Munipalities","1 Children",1008493,43892,262630,285869,186857,109764,70247,49234
21,0,0,2,"Urban Munipalities","2 Children",1439237,7509,115961,268015,330180,319973,241640,155959
21,0,0,3,"Urban Munipalities","3 Children",698745,1045,25776,90329,134322,169318,153187,124768
21,0,0,4,"Urban Munipalities","4 Children",298279,194,4873,25447,50318,73633,73927,69887
21,0,0,5,"Urban Munipalities","5 Children",117029,29,775,5671,15922,28225,32016,34391
21,0,0,6,"Urban Munipalities","6 Children",45587,0,104,1388,4960,10104,13222,15809
21,0,0,7,"Urban Munipalities","7 Children",16978,0,9,270,1365,3525,5043,6766
21,0,0,8,"Urban Munipalities","8 Children",7138,0,0,0,471,1414,2206,3047
21,0,0,9,"Urban Munipalities","9 & More Children",2815,0,0,0,53,349,886,1527
22,0,0,-1,"Rural Municipalities","Total",2010092,87928,342613,381877,342037,331306,282519,241812
22,0,0,0,"Rural Municipalities","No Children/No Birth",235853,49319,86306,39453,17946,12593,12940,17296
22,0,0,1,"Rural Municipalities","1 Children",411010,32692,154891,110846,50793,27598,18600,15590
22,0,0,2,"Rural Municipalities","2 Children",588106,5076,80181,146626,131084,105552,72039,47548
22,0,0,3,"Rural Municipalities","3 Children",401276,673,17535,61604,85797,95707,79438,60522
22,0,0,4,"Rural Municipalities","4 Children",210468,145,3153,18053,37809,53207,51842,46259
22,0,0,5,"Rural Municipalities","5 Children",94954,23,463,4078,12972,22891,26833,27694
22,0,0,6,"Rural Municipalities","6 Children",41138,0,81,1001,4065,8912,12323,14756
22,0,0,7,"Rural Municipalities","7 Children",16682,0,3,216,1138,3201,5151,6973
22,0,0,8,"Rural Municipalities","8 Children",7240,0,0,0,379,1251,2279,3331
22,0,0,9,"Rural Municipalities","9 & More Children",3365,0,0,0,54,394,1074,1843
31,0,0,-1,"Mountain","Total",335954,15562,57198,60918,56891,54111,49079,42195
31,0,0,0,"Mountain","No Children/No Birth",38737,8551,13311,6028,2994,2239,2586,3028
31,0,0,1,"Mountain","1 Children",65774,6010,25970,16587,7632,4138,2921,2516
31,0,0,2,"Mountain","2 Children",93489,886,14298,24092,20693,15612,10727,7181
31,0,0,3,"Mountain","3 Children",65670,91,2991,10088,14646,15164,13008,9682
31,0,0,4,"Mountain","4 Children",38122,18,530,3103,7051,9552,9563,8305
31,0,0,5,"Mountain","5 Children",19020,6,84,759,2603,4498,5561,5509
31,0,0,6,"Mountain","6 Children",8771,0,12,208,894,1844,2673,3140
31,0,0,7,"Mountain","7 Children",3809,0,2,53,269,703,1177,1605
31,0,0,8,"Mountain","8 Children",1659,0,0,0,95,265,557,742
31,0,0,9,"Mountain","9 & More Children",903,0,0,0,14,96,306,487
32,0,0,-1,"Hill","Total",2445612,84373,336089,451510,451362,428143,380195,313940
32,0,0,0,"Hill","No Children/No Birth",302689,46805,93039,67039,34442,20616,18384,22364
32,0,0,1,"Hill","1 Children",633344,33096,166430,172078,115222,69325,45583,31610
32,0,0,2,"Hill","2 Children",847142,4002,64904,159039,195582,184571,143643,95401
32,0,0,3,"Hill","3 Children",377835,392,9858,41241,71743,91234,89690,73677
32,0,0,4,"Hill","4 Children",163986,67,1535,9554,23879,38711,45712,44528
32,0,0,5,"Hill","5 Children",70338,11,265,1978,7355,15094,21358,24277
32,0,0,6,"Hill","6 Children",30068,0,56,482,2230,5489,9538,12273
32,0,0,7,"Hill","7 Children",12309,0,2,99,653,2015,3853,5687
32,0,0,8,"Hill","8 Children",5529,0,0,0,227,839,1723,2740
32,0,0,9,"Hill","9 & More Children",2372,0,0,0,29,249,711,1383
33,0,0,-1,"Tarai","Total",3363472,113385,527377,658052,612026,597840,474009,380783
33,0,0,0,"Tarai","No Children/No Birth",395072,66686,147879,78000,34304,22221,20360,25622
33,0,0,1,"Tarai","1 Children",720385,37478,225121,208050,114796,63899,40343,30698
33,0,0,2,"Tarai","2 Children",1086712,7697,116940,231510,244989,225342,159309,100925
33,0,0,3,"Tarai","3 Children",656516,1235,30462,100604,133730,158627,129927,101931
33,0,0,4,"Tarai","4 Children",306639,254,5961,30843,57197,78577,70494,63313
33,0,0,5,"Tarai","5 Children",122625,35,889,7012,18936,31524,31930,32299
33,0,0,6,"Tarai","6 Children",47886,0,117,1699,5901,11683,13334,15152
33,0,0,7,"Tarai","7 Children",17542,0,8,334,1581,4008,5164,6447
33,0,0,8,"Tarai","8 Children",7190,0,0,0,528,1561,2205,2896
33,0,0,9,"Tarai","9 & More Children",2905,0,0,0,64,398,943,1500
40,1,0,-1,"Province-1","Total",1034684,33376,141774,195319,189665,185017,159655,129878
40,1,0,0,"Province-1","No Children/No Birth",119301,18153,38403,25061,12779,8214,7477,9214
40,1,0,1,"Province-1","1 Children",280588,13269,71888,80337,51333,30877,19661,13223
40,1,0,2,"Province-1","2 Children",366315,1720,26313,67115,83790,83037,63870,40470
40,1,0,3,"Province-1","3 Children",162852,196,4394,17822,28999,39518,39029,32894
40,1,0,4,"Province-1","4 Children",64039,36,672,3987,9144,15043,17369,17788
40,1,0,5,"Province-1","5 Children",24820,2,99,780,2535,5405,7254,8745
40,1,0,6,"Province-1","6 Children",10105,0,5,180,773,1898,2968,4281
40,1,0,7,"Province-1","7 Children",4011,0,0,37,212,687,1173,1902
40,1,0,8,"Province-1","8 Children",1806,0,0,0,84,252,585,885
40,1,0,9,"Province-1","9 & More Children",847,0,0,0,16,86,269,476
40,2,0,-1,"Madhesh","Total",1264061,52293,229776,245612,215629,219752,162362,138637
40,2,0,0,"Madhesh","No Children/No Birth",145362,30271,57705,23243,10342,7466,7022,9313
40,2,0,1,"Madhesh","1 Children",197275,16164,82067,46801,20412,12829,9542,9460
40,2,0,2,"Madhesh","2 Children",339946,4806,63801,87317,64582,54842,36780,27818
40,2,0,3,"Madhesh","3 Children",310296,859,21024,60734,68041,72354,49631,37653
40,2,0,4,"Madhesh","4 Children",165148,167,4432,21185,35180,43694,32922,27568
40,2,0,5,"Madhesh","5 Children",66663,26,651,4918,12047,18378,15669,14974
40,2,0,6,"Madhesh","6 Children",25663,0,90,1196,3700,6830,6770,7077
40,2,0,7,"Madhesh","7 Children",8980,0,6,218,965,2317,2577,2897
40,2,0,8,"Madhesh","8 Children",3464,0,0,0,326,831,1037,1270
40,2,0,9,"Madhesh","9 & More Children",1264,0,0,0,34,211,412,607
40,3,0,-1,"Bagmati","Total",1262783,26732,136513,228768,249130,239354,212364,169922
40,3,0,0,"Bagmati","No Children/No Birth",162278,14660,44259,43951,23723,13085,10651,11949
40,3,0,1,"Bagmati","1 Children",364246,10684,67908,99262,80683,50824,33204,21681
40,3,0,2,"Bagmati","2 Children",473060,1245,20972,68533,106914,114500,95963,64933
40,3,0,3,"Bagmati","3 Children",164551,117,2854,13395,27425,40157,42999,37604
40,3,0,4,"Bagmati","4 Children",60135,24,436,2844,7384,13704,17554,18189
40,3,0,5,"Bagmati","5 Children",22986,2,68,598,2076,4625,7165,8452
40,3,0,6,"Bagmati","6 Children",9392,0,16,147,659,1583,2956,4031
40,3,0,7,"Bagmati","7 Children",3764,0,0,38,197,579,1146,1804
40,3,0,8,"Bagmati","8 Children",1655,0,0,0,61,230,504,860
40,3,0,9,"Bagmati","9 & More Children",716,0,0,0,8,67,222,419
40,4,0,-1,"Gandaki","Total",535339,16837,69729,102021,99251,93967,83677,69857
40,4,0,0,"Gandaki","No Children/No Birth",66142,9465,21516,14621,6425,4232,4301,5582
40,4,0,1,"Gandaki","1 Children",136870,6520,35538,42420,24247,13129,8505,6511
40,4,0,2,"Gandaki","2 Children",205142,772,11156,37134,50750,47702,35597,22031
40,4,0,3,"Gandaki","3 Children",83834,73,1309,6549,13896,20643,22229,19135
40,4,0,4,"Gandaki","4 Children",28163,7,181,1078,2992,5833,8513,9559
40,4,0,5,"Gandaki","5 Children",9713,0,27,179,697,1685,2922,4203
40,4,0,6,"Gandaki","6 Children",3486,0,2,31,177,486,1043,1747
40,4,0,7,"Gandaki","7 Children",1249,0,0,9,49,170,357,664
40,4,0,8,"Gandaki","8 Children",532,0,0,0,18,70,146,298
40,4,0,9,"Gandaki","9 & More Children",208,0,0,0,0,17,64,127
40,5,0,-1,"Lumbini","Total",1126816,38816,174480,225344,208826,194556,159320,125474
40,5,0,0,"Lumbini","No Children/No Birth",139449,23210,52027,28398,12060,7699,7109,8946
40,5,0,1,"Lumbini","1 Children",258038,13567,82821,80456,40461,19919,11854,8960
40,5,0,2,"Lumbini","2 Children",376121,1751,32862,83577,93307,79929,53448,31247
40,5,0,3,"Lumbini","3 Children",198315,216,5640,24911,41047,49511,43721,33269
40,5,0,4,"Lumbini","4 Children",89800,59,931,6188,14868,22751,23662,21341
40,5,0,5,"Lumbini","5 Children",38594,13,168,1382,4901,9316,11338,11476
40,5,0,6,"Lumbini","6 Children",16037,0,29,352,1573,3502,4920,5661
40,5,0,7,"Lumbini","7 Children",6441,0,2,80,469,1246,1985,2659
40,5,0,8,"Lumbini","8 Children",2808,0,0,0,120,543,902,1243
40,5,0,9,"Lumbini","9 & More Children",1213,0,0,0,20,140,381,672
40,6,0,-1,"Karnali","Total",352983,22740,70455,65471,57452,53140,45917,37808
40,6,0,0,"Karnali","No Children/No Birth",40127,12445,14884,5180,2172,1580,1843,2023
40,6,0,1,"Karnali","1 Children",66523,8800,31254,14774,5467,2770,1842,1616
40,6,0,2,"Karnali","2 Children",98717,1326,19494,28101,21409,14346,8718,5323
40,6,0,3,"Karnali","3 Children",69152,141,3980,12453,16103,15806,12282,8387
40,6,0,4,"Karnali","4 Children",40699,22,702,3755,7879,10356,9869,8116
40,6,0,5,"Karnali","5 Children",20665,6,110,892,2945,4849,6061,5802
40,6,0,6,"Karnali","6 Children",9758,0,27,261,1003,2114,2981,3372
40,6,0,7,"Karnali","7 Children",4305,0,4,55,326,845,1338,1737
40,6,0,8,"Karnali","8 Children",2020,0,0,0,132,355,655,878
40,6,0,9,"Karnali","9 & More Children",1017,0,0,0,16,119,328,554
40,7,0,-1,"Sudur Paschim","Total",568372,22526,97937,107945,100326,94308,79988,65342
40,7,0,0,"Sudur Paschim","No Children/No Birth",63839,13838,25435,10613,4239,2800,2927,3987
40,7,0,1,"Sudur Paschim","1 Children",115963,7580,46045,32665,15047,7014,4239,3373
40,7,0,2,"Sudur Paschim","2 Children",168042,965,21544,42864,40512,31169,19303,11685
40,7,0,3,"Sudur Paschim","3 Children",111021,116,4110,16069,24608,27036,22734,16348
40,7,0,4,"Sudur Paschim","4 Children",60763,24,672,4463,10680,15459,15880,13585
40,7,0,5,"Sudur Paschim","5 Children",28542,3,115,1000,3693,6858,8440,8433
40,7,0,6,"Sudur Paschim","6 Children",12284,0,16,222,1140,2603,3907,4396
40,7,0,7,"Sudur Paschim","7 Children",4910,0,0,49,285,882,1618,2076
40,7,0,8,"Sudur Paschim","8 Children",2093,0,0,0,109,384,656,944
40,7,0,9,"Sudur Paschim","9 & More Children",915,0,0,0,13,103,284,515
50,1,1,-1,"Taplejung","Total",22209,1193,3614,4289,3833,3406,3135,2739
50,1,1,0,"Taplejung","No Children/No Birth",2767,585,787,549,269,183,176,218
50,1,1,1,"Taplejung","1 Children",5393,519,1844,1487,735,388,235,185
50,1,1,2,"Taplejung","2 Children",6556,81,823,1587,1573,1140,831,521
50,1,1,3,"Taplejung","3 Children",3813,7,137,499,802,915,830,623
50,1,1,4,"Taplejung","4 Children",1881,1,22,129,314,423,547,445
50,1,1,5,"Taplejung","5 Children",938,0,1,26,79,204,264,364
50,1,1,6,"Taplejung","6 Children",473,0,0,9,36,94,137,197
50,1,1,7,"Taplejung","7 Children",228,0,0,3,19,43,59,104
50,1,1,8,"Taplejung","8 Children",105,0,0,0,6,7,37,55
50,1,1,9,"Taplejung","9 & More Children",55,0,0,0,0,9,19,27
50,1,2,-1,"Sankhuwasabha","Total",30145,1418,4556,5724,5322,5054,4442,3629
50,1,2,0,"Sankhuwasabha","No Children/No Birth",3084,704,974,588,251,175,172,220
50,1,2,1,"Sankhuwasabha","1 Children",7370,632,2440,2052,1046,570,346,284
50,1,2,2,"Sankhuwasabha","2 Children",9815,77,1000,2293,2415,1951,1295,784
50,1,2,3,"Sankhuwasabha","3 Children",5435,4,121,635,1119,1365,1289,902
50,1,2,4,"Sankhuwasabha","4 Children",2452,1,17,126,351,625,723,609
50,1,2,5,"Sankhuwasabha","5 Children",1105,0,4,26,91,234,330,420
50,1,2,6,"Sankhuwasabha","6 Children",506,0,0,1,32,93,157,223
50,1,2,7,"Sankhuwasabha","7 Children",227,0,0,3,10,32,81,101
50,1,2,8,"Sankhuwasabha","8 Children",91,0,0,0,5,3,31,52
50,1,2,9,"Sankhuwasabha","9 & More Children",60,0,0,0,2,6,18,34
50,1,3,-1,"Solukhumbu","Total",18539,619,2736,3484,3331,3204,2839,2326
50,1,3,0,"Solukhumbu","No Children/No Birth",1973,280,611,402,242,157,126,155
50,1,3,1,"Solukhumbu","1 Children",4606,307,1519,1295,744,332,238,171
50,1,3,2,"Solukhumbu","2 Children",5676,27,534,1342,1408,1161,733,471
50,1,3,3,"Solukhumbu","3 Children",3143,5,58,363,620,841,745,511
50,1,3,4,"Solukhumbu","4 Children",1618,0,11,64,220,419,455,449
50,1,3,5,"Solukhumbu","5 Children",834,0,3,15,70,188,284,274
50,1,3,6,"Solukhumbu","6 Children",391,0,0,3,21,68,144,155
50,1,3,7,"Solukhumbu","7 Children",165,0,0,0,4,25,51,85
50,1,3,8,"Solukhumbu","8 Children",85,0,0,0,1,9,43,32
50,1,3,9,"Solukhumbu","9 & More Children",48,0,0,0,1,4,20,23
50,1,4,-1,"Okhaldhunga","Total",25673,1012,3922,4823,4333,4161,3916,3506
50,1,4,0,"Okhaldhunga","No Children/No Birth",3587,580,1007,634,376,275,310,405
50,1,4,1,"Okhaldhunga","1 Children",6039,388,2029,1779,797,448,308,290
50,1,4,2,"Okhaldhunga","2 Children",7624,40,765,1827,1809,1505,1009,669
50,1,4,3,"Okhaldhunga","3 Children",4517,4,99,470,923,1114,1079,828
50,1,4,4,"Okhaldhunga","4 Children",2203,0,20,88,318,531,651,595
50,1,4,5,"Okhaldhunga","5 Children",974,0,2,21,75,181,338,357
50,1,4,6,"Okhaldhunga","6 Children",444,0,0,2,29,62,146,205
50,1,4,7,"Okhaldhunga","7 Children",177,0,0,2,3,26,52,94
50,1,4,8,"Okhaldhunga","8 Children",82,0,0,0,2,14,18,48
50,1,4,9,"Okhaldhunga","9 & More Children",26,0,0,0,1,5,5,15
50,1,5,-1,"Khotang","Total",30811,1749,5116,5776,4893,4751,4425,4101
50,1,5,0,"Khotang","No Children/No Birth",3759,898,1158,585,332,239,227,320
50,1,5,1,"Khotang","1 Children",7154,733,2630,1955,860,431,307,238
50,1,5,2,"Khotang","2 Children",8423,102,1122,2252,1889,1487,932,639
50,1,5,3,"Khotang","3 Children",5341,14,173,726,1128,1263,1168,869
50,1,5,4,"Khotang","4 Children",3068,1,26,207,479,730,818,807
50,1,5,5,"Khotang","5 Children",1567,1,7,40,140,357,492,530
50,1,5,6,"Khotang","6 Children",847,0,0,10,52,156,282,347
50,1,5,7,"Khotang","7 Children",385,0,0,1,7,56,122,199
50,1,5,8,"Khotang","8 Children",186,0,0,0,5,26,52,103
50,1,5,9,"Khotang","9 & More Children",81,0,0,0,1,6,25,49
50,1,6,-1,"Bhojpur","Total",28971,1585,4504,5264,4841,4595,4302,3880
50,1,6,0,"Bhojpur","No Children/No Birth",3425,794,1019,587,295,215,234,281
50,1,6,1,"Bhojpur","1 Children",7301,718,2436,1966,996,529,370,286
50,1,6,2,"Bhojpur","2 Children",8611,66,913,2003,2040,1625,1167,797
50,1,6,3,"Bhojpur","3 Children",4956,5,119,551,1025,1199,1165,892
50,1,6,4,"Bhojpur","4 Children",2586,2,16,126,346,632,720,744
50,1,6,5,"Bhojpur","5 Children",1152,0,1,28,101,250,361,411
50,1,6,6,"Bhojpur","6 Children",535,0,0,2,29,91,163,250
50,1,6,7,"Bhojpur","7 Children",228,0,0,1,7,35,72,113
50,1,6,8,"Bhojpur","8 Children",124,0,0,0,1,16,37,70
50,1,6,9,"Bhojpur","9 & More Children",53,0,0,0,1,3,13,36
50,1,7,-1,"Dhankuta","Total",30247,1266,4053,5401,5380,5137,4887,4123
50,1,7,0,"Dhankuta","No Children/No Birth",3420,648,1044,703,362,210,192,261
50,1,7,1,"Dhankuta","1 Children",8849,558,2293,2505,1548,947,583,415
50,1,7,2,"Dhankuta","2 Children",10575,50,647,1810,2491,2374,1953,1250
50,1,7,3,"Dhankuta","3 Children",4636,9,58,322,740,1099,1297,1111
50,1,7,4,"Dhankuta","4 Children",1712,1,8,53,174,353,543,580
50,1,7,5,"Dhankuta","5 Children",666,0,3,8,46,105,208,296
50,1,7,6,"Dhankuta","6 Children",236,0,0,0,13,38,66,119
50,1,7,7,"Dhankuta","7 Children",94,0,0,0,5,7,26,56
50,1,7,8,"Dhankuta","8 Children",48,0,0,0,1,4,17,26
50,1,7,9,"Dhankuta","9 & More Children",11,0,0,0,0,0,2,9
50,1,8,-1,"Terhathum","Total",17378,804,2582,3232,3035,2823,2570,2332
50,1,8,0,"Terhathum","No Children/No Birth",1920,397,608,375,185,103,106,146
50,1,8,1,"Terhathum","1 Children",4665,366,1422,1316,698,409,252,202
50,1,8,2,"Terhathum","2 Children",5844,39,493,1202,1451,1230,881,548
50,1,8,3,"Terhathum","3 Children",2977,2,52,266,506,697,750,704
50,1,8,4,"Terhathum","4 Children",1192,0,5,63,153,241,356,374
50,1,8,5,"Terhathum","5 Children",478,0,2,8,30,100,139,199
50,1,8,6,"Terhathum","6 Children",179,0,0,1,9,28,55,86
50,1,8,7,"Terhathum","7 Children",70,0,0,1,1,13,15,40
50,1,8,8,"Terhathum","8 Children",33,0,0,0,2,1,10,20
50,1,8,9,"Terhathum","9 & More Children",20,0,0,0,0,1,6,13
50,1,9,-1,"Panchthar","Total",33568,1840,5316,6401,5787,5372,4718,4134
50,1,9,0,"Panchthar","No Children/No Birth",4191,942,1248,746,390,245,238,382
50,1,9,1,"Panchthar","1 Children",9720,806,3020,2823,1527,773,446,325
50,1,9,2,"Panchthar","2 Children",10321,87,907,2243,2583,2159,1454,888
50,1,9,3,"Panchthar","3 Children",4981,5,116,483,918,1262,1239,958
50,1,9,4,"Panchthar","4 Children",2465,0,25,91,254,598,745,752
50,1,9,5,"Panchthar","5 Children",1095,0,0,13,89,236,360,397
50,1,9,6,"Panchthar","6 Children",472,0,0,1,14,65,145,247
50,1,9,7,"Panchthar","7 Children",188,0,0,1,12,24,49,102
50,1,9,8,"Panchthar","8 Children",79,0,0,0,0,9,21,49
50,1,9,9,"Panchthar","9 & More Children",56,0,0,0,0,1,21,34
50,1,10,-1,"Ilam","Total",57093,2061,7102,10500,10314,10146,9416,7554
50,1,10,0,"Ilam","No Children/No Birth",7575,1190,2122,1552,868,624,543,676
50,1,10,1,"Ilam","1 Children",19263,791,4027,5663,3938,2486,1494,864
50,1,10,2,"Ilam","2 Children",19603,72,867,2783,4334,4808,4154,2585
50,1,10,3,"Ilam","3 Children",6973,7,72,422,939,1597,2077,1859
50,1,10,4,"Ilam","4 Children",2404,1,14,64,180,436,777,932
50,1,10,5,"Ilam","5 Children",783,0,0,11,38,131,233,370
50,1,10,6,"Ilam","6 Children",332,0,0,4,13,50,91,174
50,1,10,7,"Ilam","7 Children",105,0,0,1,3,12,30,59
50,1,10,8,"Ilam","8 Children",35,0,0,0,1,1,12,21
50,1,10,9,"Ilam","9 & More Children",20,0,0,0,0,1,5,14
50,1,11,-1,"Jhapa","Total",216755,5364,25174,39739,41773,40945,35778,27982
50,1,11,0,"Jhapa","No Children/No Birth",23969,2995,7561,5524,2944,1716,1548,1681
50,1,11,1,"Jhapa","1 Children",62678,2097,13217,18613,13033,7753,4857,3108
50,1,11,2,"Jhapa","2 Children",85305,245,3783,12831,19689,21115,17001,10641
50,1,11,3,"Jhapa","3 Children",29873,23,538,2239,4574,7181,8084,7234
50,1,11,4,"Jhapa","4 Children",9840,4,65,418,1133,2187,2811,3222
50,1,11,5,"Jhapa","5 Children",3218,0,10,83,273,653,938,1261
50,1,11,6,"Jhapa","6 Children",1167,0,0,26,84,220,326,511
50,1,11,7,"Jhapa","7 Children",428,0,0,5,28,82,115,198
50,1,11,8,"Jhapa","8 Children",189,0,0,0,13,27,66,83
50,1,11,9,"Jhapa","9 & More Children",88,0,0,0,2,11,32,43
50,1,12,-1,"Morang","Total",248149,6310,33009,47267,45578,46439,38722,30824
50,1,12,0,"Morang","No Children/No Birth",26980,3601,9216,6050,2756,1739,1577,2041
50,1,12,1,"Morang","1 Children",66204,2339,16202,18896,12335,7761,5129,3542
50,1,12,2,"Morang","2 Children",92516,312,6214,16398,20461,21599,16826,10706
50,1,12,3,"Morang","3 Children",41189,49,1196,4693,7170,10303,9571,8207
50,1,12,4,"Morang","4 Children",14233,8,156,1005,2091,3473,3700,3800
50,1,12,5,"Morang","5 Children",4638,1,24,187,561,1047,1271,1547
50,1,12,6,"Morang","6 Children",1532,0,1,35,145,337,399,615
50,1,12,7,"Morang","7 Children",556,0,0,3,40,120,160,233
50,1,12,8,"Morang","8 Children",225,0,0,0,16,52,67,90
50,1,12,9,"Morang","9 & More Children",76,0,0,0,3,8,22,43
50,1,13,-1,"Sunsari","Total",203590,5265,29310,39755,38073,36764,30194,24229
50,1,13,0,"Sunsari","No Children/No Birth",24313,3056,8356,5174,2722,1742,1503,1760
50,1,13,1,"Sunsari","1 Children",53686,1782,13262,14982,10248,6560,4195,2657
50,1,13,2,"Sunsari","2 Children",71692,364,6075,13251,15644,15890,12368,8100
50,1,13,3,"Sunsari","3 Children",32867,49,1344,4770,6102,7587,6967,6048
50,1,13,4,"Sunsari","4 Children",12931,14,236,1233,2341,3107,2972,3028
50,1,13,5,"Sunsari","5 Children",4960,0,34,265,706,1205,1307,1443
50,1,13,6,"Sunsari","6 Children",1931,0,3,67,233,430,525,673
50,1,13,7,"Sunsari","7 Children",707,0,0,13,52,157,194,291
50,1,13,8,"Sunsari","8 Children",320,0,0,0,22,60,97,141
50,1,13,9,"Sunsari","9 & More Children",183,0,0,0,3,26,66,88
50,1,14,-1,"Udayapur","Total",71556,2890,10780,13664,13172,12220,10311,8519
50,1,14,0,"Udayapur","No Children/No Birth",8338,1483,2692,1592,787,591,525,668
50,1,14,1,"Udayapur","1 Children",17660,1233,5547,5005,2828,1490,901,656
50,1,14,2,"Udayapur","2 Children",23754,158,2170,5293,6003,4993,3266,1871
50,1,14,3,"Udayapur","3 Children",12151,13,311,1383,2433,3095,2768,2148
50,1,14,4,"Udayapur","4 Children",5454,3,51,320,790,1288,1551,1451
50,1,14,5,"Udayapur","5 Children",2412,0,8,49,236,514,729,876
50,1,14,6,"Udayapur","6 Children",1060,0,1,19,63,166,332,479
50,1,14,7,"Udayapur","7 Children",453,0,0,3,21,55,147,227
50,1,14,8,"Udayapur","8 Children",204,0,0,0,9,23,77,95
50,1,14,9,"Udayapur","9 & More Children",70,0,0,0,2,5,15,48
50,2,15,-1,"Saptari","Total",150687,5038,26614,28887,25705,27177,20303,16963
50,2,15,0,"Saptari","No Children/No Birth",16992,2862,6660,2934,1290,951,995,1300
50,2,15,1,"Saptari","1 Children",27293,1678,10461,6668,3165,2189,1588,1544
50,2,15,2,"Saptari","2 Children",50985,428,7459,11875,10106,9690,6658,4769
50,2,15,3,"Saptari","3 Children",34691,66,1736,5668,7357,8761,6280,4823
50,2,15,4,"Saptari","4 Children",14021,4,262,1425,2830,3787,3031,2682
50,2,15,5,"Saptari","5 Children",4546,0,30,250,718,1241,1182,1125
50,2,15,6,"Saptari","6 Children",1520,0,6,55,179,392,389,499
50,2,15,7,"Saptari","7 Children",462,0,0,12,47,124,120,159
50,2,15,8,"Saptari","8 Children",134,0,0,0,12,34,44,44
50,2,15,9,"Saptari","9 & More Children",43,0,0,0,1,8,16,18
50,2,16,-1,"Siraha","Total",162139,6422,30521,31549,27408,28285,20204,17750
50,2,16,0,"Siraha","No Children/No Birth",17921,3666,7406,2740,1156,916,846,1191
50,2,16,1,"Siraha","1 Children",27231,2114,11765,6324,2691,1704,1315,1318
50,2,16,2,"Siraha","2 Children",48042,537,8767,12766,9382,7806,5004,3780
50,2,16,3,"Siraha","3 Children",41092,85,2222,7497,9176,10161,6700,5251
50,2,16,4,"Siraha","4 Children",18624,19,312,1845,3793,5266,3899,3490
