area,prov,dist,nchild,area_name,childreneverborn,rowtotal,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
50,2,16,5,"Siraha","5 Children",6285,1,44,303,894,1724,1605,1714
50,2,16,6,"Siraha","6 Children",2058,0,5,69,245,520,553,666
50,2,16,7,"Siraha","7 Children",610,0,0,5,53,138,189,225
50,2,16,8,"Siraha","8 Children",223,0,0,0,18,41,78,86
50,2,16,9,"Siraha","9 & More Children",53,0,0,0,0,9,15,29
50,2,17,-1,"Dhanusa","Total",190136,8365,37039,38035,31172,32466,22765,20294
50,2,17,0,"Dhanusa","No Children/No Birth",19828,4725,8093,2835,1175,899,870,1231
50,2,17,1,"Dhanusa","1 Children",30783,2814,13968,6973,2683,1692,1287,1366
50,2,17,2,"Dhanusa","2 Children",53187,733,11321,14883,9565,7862,4907,3916
50,2,17,3,"Dhanusa","3 Children",50664,80,3129,10202,11318,12076,7802,6057
50,2,17,4,"Dhanusa","4 Children",23737,13,486,2621,4864,6660,4826,4267
50,2,17,5,"Dhanusa","5 Children",8152,0,37,443,1202,2341,1969,2160
50,2,17,6,"Dhanusa","6 Children",2642,0,5,67,292,671,768,839
50,2,17,7,"Dhanusa","7 Children",812,0,0,11,54,192,242,313
50,2,17,8,"Dhanusa","8 Children",265,0,0,0,18,65,72,110
50,2,17,9,"Dhanusa","9 & More Children",66,0,0,0,1,8,22,35
50,2,18,-1,"Mahottari","Total",147693,5930,27034,29130,25065,25977,18668,15889
50,2,18,0,"Mahottari","No Children/No Birth",16020,3443,6541,2491,1024,767,712,1042
50,2,18,1,"Mahottari","1 Children",23010,1875,10104,5378,2192,1380,1048,1033
50,2,18,2,"Mahottari","2 Children",37789,504,7653,10340,6806,5668,3795,3023
50,2,18,3,"Mahottari","3 Children",37151,84,2269,7685,8415,8799,5675,4224
50,2,18,4,"Mahottari","4 Children",20782,22,416,2564,4577,5783,4219,3201
50,2,18,5,"Mahottari","5 Children",8213,2,41,553,1491,2351,1898,1877
50,2,18,6,"Mahottari","6 Children",3078,0,9,101,438,843,822,865
50,2,18,7,"Mahottari","7 Children",1095,0,1,18,93,282,333,368
50,2,18,8,"Mahottari","8 Children",401,0,0,0,26,85,116,174
50,2,18,9,"Mahottari","9 & More Children",154,0,0,0,3,19,50,82
50,2,19,-1,"Sarlahi","Total",173035,6999,30795,33723,29548,30035,22876,19059
50,2,19,0,"Sarlahi","No Children/No Birth",19194,4061,7801,3056,1337,895,875,1169
50,2,19,1,"Sarlahi","1 Children",26681,2172,11153,6534,2797,1637,1185,1203
50,2,19,2,"Sarlahi","2 Children",43232,633,8166,11024,8349,6955,4712,3393
50,2,19,3,"Sarlahi","3 Children",42274,107,2886,8661,8951,9693,6905,5071
50,2,19,4,"Sarlahi","4 Children",24644,21,680,3467,5249,6228,4977,4022
50,2,19,5,"Sarlahi","5 Children",10644,5,98,772,2059,2962,2481,2267
50,2,19,6,"Sarlahi","6 Children",4133,0,10,183,586,1137,1099,1118
50,2,19,7,"Sarlahi","7 Children",1465,0,1,26,159,362,422,495
50,2,19,8,"Sarlahi","8 Children",577,0,0,0,52,140,164,221
50,2,19,9,"Sarlahi","9 & More Children",191,0,0,0,9,26,56,100
50,2,20,-1,"Rautahat","Total",158695,8630,30511,30069,26248,26306,20084,16847
50,2,20,0,"Rautahat","No Children/No Birth",20343,5199,7829,2906,1370,1009,864,1166
50,2,20,1,"Rautahat","1 Children",21570,2404,9466,4667,1971,1234,912,916
50,2,20,2,"Rautahat","2 Children",34179,807,8202,8731,5789,4621,3329,2700
50,2,20,3,"Rautahat","3 Children",36415,176,3733,8037,7723,7515,5304,3927
50,2,20,4,"Rautahat","4 Children",24252,34,1031,4026,5332,5996,4364,3469
50,2,20,5,"Rautahat","5 Children",12432,10,210,1249,2620,3368,2741,2234
50,2,20,6,"Rautahat","6 Children",5785,0,37,382,1001,1583,1487,1295
50,2,20,7,"Rautahat","7 Children",2300,0,3,71,322,638,643,623
50,2,20,8,"Rautahat","8 Children",994,0,0,0,107,256,308,323
50,2,20,9,"Rautahat","9 & More Children",425,0,0,0,13,86,132,194
50,2,21,-1,"Bara","Total",153397,6407,26737,29461,27035,26664,20092,17001
50,2,21,0,"Bara","No Children/No Birth",19255,3751,7526,3231,1536,1057,957,1197
50,2,21,1,"Bara","1 Children",22713,1841,8731,5717,2629,1565,1141,1089
50,2,21,2,"Bara","2 Children",39132,636,6807,9631,7879,6605,4456,3118
50,2,21,3,"Bara","3 Children",36530,138,2829,7024,7948,8216,5943,4432
50,2,21,4,"Bara","4 Children",21409,35,731,2898,4623,5410,4150,3562
50,2,21,5,"Bara","5 Children",8926,6,100,716,1694,2384,2053,1973
50,2,21,6,"Bara","6 Children",3535,0,12,200,543,941,857,982
50,2,21,7,"Bara","7 Children",1258,0,1,44,124,350,337,402
50,2,21,8,"Bara","8 Children",463,0,0,0,56,108,130,169
50,2,21,9,"Bara","9 & More Children",176,0,0,0,3,28,68,77
50,2,22,-1,"Parsa","Total",128279,4502,20525,24758,23448,22842,17370,14834
50,2,22,0,"Parsa","No Children/No Birth",15809,2564,5849,3050,1454,972,903,1017
50,2,22,1,"Parsa","1 Children",17994,1266,6419,4540,2284,1428,1066,991
50,2,22,2,"Parsa","2 Children",33400,528,5426,8067,6706,5635,3919,3119
50,2,22,3,"Parsa","3 Children",31479,123,2220,5960,7153,7133,5022,3868
50,2,22,4,"Parsa","4 Children",17679,19,514,2339,3912,4564,3456,2875
50,2,22,5,"Parsa","5 Children",7465,2,91,632,1369,2007,1740,1624
50,2,22,6,"Parsa","6 Children",2912,0,6,139,416,743,795,813
50,2,22,7,"Parsa","7 Children",978,0,0,31,113,231,291,312
50,2,22,8,"Parsa","8 Children",407,0,0,0,37,102,125,143
50,2,22,9,"Parsa","9 & More Children",156,0,0,0,4,27,53,72
50,3,23,-1,"Dolakha","Total",31638,900,4195,5838,5650,5385,5082,4588
50,3,23,0,"Dolakha","No Children/No Birth",3343,454,1031,648,335,239,235,401
50,3,23,1,"Dolakha","1 Children",7098,412,2244,2095,1074,558,409,306
50,3,23,2,"Dolakha","2 Children",10712,31,831,2506,2641,2146,1540,1017
50,3,23,3,"Dolakha","3 Children",6022,3,77,494,1181,1506,1480,1281
50,3,23,4,"Dolakha","4 Children",2753,0,12,70,315,645,879,832
50,3,23,5,"Dolakha","5 Children",1106,0,0,24,75,210,360,437
50,3,23,6,"Dolakha","6 Children",395,0,0,1,22,58,116,198
50,3,23,7,"Dolakha","7 Children",130,0,0,0,5,17,41,67
50,3,23,8,"Dolakha","8 Children",60,0,0,0,2,5,17,36
50,3,23,9,"Dolakha","9 & More Children",19,0,0,0,0,1,5,13
50,3,24,-1,"Sindhupalchok","Total",50125,1451,6597,8978,8610,8747,8329,7413
50,3,24,0,"Sindhupalchok","No Children/No Birth",5711,784,1680,1069,575,434,493,676
50,3,24,1,"Sindhupalchok","1 Children",10978,587,3475,3234,1608,905,630,539
50,3,24,2,"Sindhupalchok","2 Children",16015,72,1246,3574,3769,3322,2434,1598
50,3,24,3,"Sindhupalchok","3 Children",9641,4,169,885,1857,2386,2444,1896
50,3,24,4,"Sindhupalchok","4 Children",4694,4,23,170,574,1144,1351,1428
50,3,24,5,"Sindhupalchok","5 Children",1874,0,3,33,164,369,625,680
50,3,24,6,"Sindhupalchok","6 Children",792,0,1,10,49,129,230,373
50,3,24,7,"Sindhupalchok","7 Children",278,0,0,3,10,44,89,132
50,3,24,8,"Sindhupalchok","8 Children",100,0,0,0,2,9,23,66
50,3,24,9,"Sindhupalchok","9 & More Children",42,0,0,0,2,5,10,25
50,3,25,-1,"Rasuwa","Total",8630,276,1200,1669,1613,1363,1330,1179
50,3,25,0,"Rasuwa","No Children/No Birth",983,144,324,201,100,59,69,86
50,3,25,1,"Rasuwa","1 Children",1768,117,578,521,282,114,77,79
50,3,25,2,"Rasuwa","2 Children",2509,13,255,646,630,430,304,231
50,3,25,3,"Rasuwa","3 Children",1660,2,36,219,381,370,374,278
50,3,25,4,"Rasuwa","4 Children",987,0,7,68,153,246,261,252
50,3,25,5,"Rasuwa","5 Children",441,0,0,10,51,103,139,138
50,3,25,6,"Rasuwa","6 Children",165,0,0,1,13,26,57,68
50,3,25,7,"Rasuwa","7 Children",83,0,0,3,3,12,37,28
50,3,25,8,"Rasuwa","8 Children",24,0,0,0,0,3,8,13
50,3,25,9,"Rasuwa","9 & More Children",10,0,0,0,0,0,4,6
50,3,26,-1,"Dhading","Total",65229,2368,9410,12375,11433,11329,9936,8378
50,3,26,0,"Dhading","No Children/No Birth",6989,1252,2296,1356,568,437,445,635
50,3,26,1,"Dhading","1 Children",14492,994,4868,4420,1992,962,654,602
50,3,26,2,"Dhading","2 Children",22233,109,1894,4923,5561,4749,3116,1881
50,3,26,3,"Dhading","3 Children",12021,12,283,1287,2267,3133,2881,2158
50,3,26,4,"Dhading","4 Children",5572,1,56,293,726,1337,1592,1567
50,3,26,5,"Dhading","5 Children",2288,0,10,65,215,459,715,824
50,3,26,6,"Dhading","6 Children",989,0,3,26,78,162,327,393
50,3,26,7,"Dhading","7 Children",391,0,0,5,19,55,128,184
50,3,26,8,"Dhading","8 Children",166,0,0,0,7,26,52,81
50,3,26,9,"Dhading","9 & More Children",88,0,0,0,0,9,26,53
50,3,27,-1,"Nuwakot","Total",52634,1639,7177,9794,9314,9091,8402,7217
50,3,27,0,"Nuwakot","No Children/No Birth",5252,833,1653,972,464,337,398,595
50,3,27,1,"Nuwakot","1 Children",11407,720,3754,3436,1566,863,601,467
50,3,27,2,"Nuwakot","2 Children",18468,80,1529,4108,4612,3839,2668,1632
50,3,27,3,"Nuwakot","3 Children",9836,3,208,1001,1854,2425,2415,1930
50,3,27,4,"Nuwakot","4 Children",4537,3,28,230,577,1054,1307,1338
50,3,27,5,"Nuwakot","5 Children",1883,0,5,39,174,369,614,682
50,3,27,6,"Nuwakot","6 Children",770,0,0,8,51,125,262,324
50,3,27,7,"Nuwakot","7 Children",317,0,0,0,13,59,94,151
50,3,27,8,"Nuwakot","8 Children",123,0,0,0,3,18,32,70
50,3,27,9,"Nuwakot","9 & More Children",41,0,0,0,0,2,11,28
50,3,28,-1,"Kathmandu","Total",426602,4773,36320,76469,91694,86435,74676,56235
50,3,28,0,"Kathmandu","No Children/No Birth",62698,2965,15380,19850,11460,5708,4051,3284
50,3,28,1,"Kathmandu","1 Children",143602,1642,16909,36678,37139,24802,16458,9974
50,3,28,2,"Kathmandu","2 Children",167709,149,3596,17429,36170,43726,39068,27571
50,3,28,3,"Kathmandu","3 Children",40029,13,379,2098,5682,9636,11396,10825
50,3,28,4,"Kathmandu","4 Children",9220,4,46,335,974,1945,2699,3217
50,3,28,5,"Kathmandu","5 Children",2323,0,9,68,197,436,674,939
50,3,28,6,"Kathmandu","6 Children",712,0,1,11,53,124,232,291
50,3,28,7,"Kathmandu","7 Children",186,0,0,0,12,30,62,82
50,3,28,8,"Kathmandu","8 Children",96,0,0,0,7,21,27,41
50,3,28,9,"Kathmandu","9 & More Children",27,0,0,0,0,7,9,11
50,3,29,-1,"Bhaktapur","Total",93045,1024,7472,16519,19992,18697,16544,12797
50,3,29,0,"Bhaktapur","No Children/No Birth",11831,611,2843,3924,1996,959,672,826
50,3,29,1,"Bhaktapur","1 Children",29755,359,3662,7958,8070,4894,2972,1840
50,3,29,2,"Bhaktapur","2 Children",39361,49,879,4121,8460,10128,9329,6395
50,3,29,3,"Bhaktapur","3 Children",9357,5,81,438,1224,2216,2743,2650
50,3,29,4,"Bhaktapur","4 Children",2049,0,6,68,196,381,631,767
50,3,29,5,"Bhaktapur","5 Children",485,0,1,9,30,83,136,226
50,3,29,6,"Bhaktapur","6 Children",143,0,0,1,9,25,36,72
50,3,29,7,"Bhaktapur","7 Children",36,0,0,0,5,5,15,11
50,3,29,8,"Bhaktapur","8 Children",19,0,0,0,2,6,7,4
50,3,29,9,"Bhaktapur","9 & More Children",9,0,0,0,0,0,3,6
50,3,30,-1,"Lalitpur","Total",113393,1317,8764,18319,23025,23446,21567,16955
50,3,30,0,"Lalitpur","No Children/No Birth",16596,779,3465,4910,3116,1659,1286,1381
50,3,30,1,"Lalitpur","1 Children",38741,480,4225,8600,9684,7427,5100,3225
50,3,30,2,"Lalitpur","2 Children",44107,52,973,4110,8449,11157,11094,8272
50,3,30,3,"Lalitpur","3 Children",10438,6,92,585,1441,2459,3014,2841
50,3,30,4,"Lalitpur","4 Children",2542,0,7,97,263,568,746,861
50,3,30,5,"Lalitpur","5 Children",667,0,2,11,56,135,232,231
50,3,30,6,"Lalitpur","6 Children",195,0,0,6,12,24,61,92
50,3,30,7,"Lalitpur","7 Children",63,0,0,0,4,13,14,32
50,3,30,8,"Lalitpur","8 Children",34,0,0,0,0,4,19,11
50,3,30,9,"Lalitpur","9 & More Children",10,0,0,0,0,0,1,9
50,3,31,-1,"Kavrepalanchok","Total",73438,1633,8338,13170,13537,13399,12483,10878
50,3,31,0,"Kavrepalanchok","No Children/No Birth",7894,855,2229,1878,931,595,587,819
50,3,31,1,"Kavrepalanchok","1 Children",18051,693,4489,5522,3447,1830,1141,929
50,3,31,2,"Kavrepalanchok","2 Children",27473,70,1441,4619,6518,6402,5046,3377
50,3,31,3,"Kavrepalanchok","3 Children",12024,13,148,910,1923,2966,3247,2817
50,3,31,4,"Kavrepalanchok","4 Children",4849,2,28,187,528,1051,1511,1542
50,3,31,5,"Kavrepalanchok","5 Children",1849,0,3,43,129,349,568,757
50,3,31,6,"Kavrepalanchok","6 Children",778,0,0,9,39,135,242,353
50,3,31,7,"Kavrepalanchok","7 Children",351,0,0,2,17,53,94,185
50,3,31,8,"Kavrepalanchok","8 Children",129,0,0,0,4,14,36,75
50,3,31,9,"Kavrepalanchok","9 & More Children",40,0,0,0,1,4,11,24
50,3,32,-1,"Ramechhap","Total",30880,915,4382,5289,5101,5257,4996,4940
50,3,32,0,"Ramechhap","No Children/No Birth",3686,503,1117,656,339,289,324,458
50,3,32,1,"Ramechhap","1 Children",6766,372,2337,1904,898,498,381,376
50,3,32,2,"Ramechhap","2 Children",9579,37,806,2106,2333,1959,1375,963
50,3,32,3,"Ramechhap","3 Children",5791,2,105,509,1085,1455,1386,1249
50,3,32,4,"Ramechhap","4 Children",2970,1,14,98,329,718,878,932
50,3,32,5,"Ramechhap","5 Children",1292,0,0,16,87,234,426,529
50,3,32,6,"Ramechhap","6 Children",494,0,3,0,19,75,149,248
50,3,32,7,"Ramechhap","7 Children",201,0,0,0,10,23,51,117
50,3,32,8,"Ramechhap","8 Children",77,0,0,0,1,2,21,53
50,3,32,9,"Ramechhap","9 & More Children",24,0,0,0,0,4,5,15
50,3,33,-1,"Sindhuli","Total",59571,2591,9452,11154,10150,9983,8755,7486
50,3,33,0,"Sindhuli","No Children/No Birth",6083,1298,2178,1087,505,319,268,428
50,3,33,1,"Sindhuli","1 Children",12925,1131,4716,3707,1568,819,528,456
50,3,33,2,"Sindhuli","2 Children",18092,147,2121,4431,4369,3450,2203,1371
50,3,33,3,"Sindhuli","3 Children",11049,12,363,1477,2354,2757,2370,1716
50,3,33,4,"Sindhuli","4 Children",6018,3,64,360,929,1547,1675,1440
50,3,33,5,"Sindhuli","5 Children",2913,0,7,70,295,682,887,972
50,3,33,6,"Sindhuli","6 Children",1415,0,3,14,86,259,471,582
50,3,33,7,"Sindhuli","7 Children",626,0,0,8,34,99,194,291
50,3,33,8,"Sindhuli","8 Children",290,0,0,0,9,39,107,135
50,3,33,9,"Sindhuli","9 & More Children",160,0,0,0,1,12,52,95
50,3,34,-1,"Makwanpur","Total",95762,3504,13764,18587,17957,16294,14214,11442
50,3,34,0,"Makwanpur","No Children/No Birth",11116,1779,3581,2523,1155,693,610,775
50,3,34,1,"Makwanpur","1 Children",24712,1508,7083,7402,4408,2220,1275,816
50,3,34,2,"Makwanpur","2 Children",31470,196,2577,6334,7870,6892,4787,2814
50,3,34,3,"Makwanpur","3 Children",14819,17,430,1712,2919,3541,3483,2717
50,3,34,4,"Makwanpur","4 Children",7305,3,73,467,1044,1730,2068,1920
50,3,34,5,"Makwanpur","5 Children",3469,1,15,109,376,747,1098,1123
50,3,34,6,"Makwanpur","6 Children",1612,0,5,32,127,287,503,658
50,3,34,7,"Makwanpur","7 Children",740,0,0,8,43,115,227,347
50,3,34,8,"Makwanpur","8 Children",357,0,0,0,12,53,104,188
50,3,34,9,"Makwanpur","9 & More Children",162,0,0,0,3,16,59,84
50,3,35,-1,"Chitawan","Total",161836,4341,19442,30607,31054,29928,26050,20414
50,3,35,0,"Chitawan","No Children/No Birth",20096,2403,6482,4877,2179,1357,1213,1585
50,3,35,1,"Chitawan","1 Children",43951,1669,9568,13785,8947,4932,2978,2072
50,3,35,2,"Chitawan","2 Children",65332,240,2824,9626,15532,16300,12999,7811
50,3,35,3,"Chitawan","3 Children",21864,25,483,1780,3257,5307,5766,5246
50,3,35,4,"Chitawan","4 Children",6639,3,72,401,776,1338,1956,2093
50,3,35,5,"Chitawan","5 Children",2396,1,13,101,227,449,691,914
50,3,35,6,"Chitawan","6 Children",932,0,0,28,101,154,270,379
50,3,35,7,"Chitawan","7 Children",362,0,0,9,22,54,100,177
50,3,35,8,"Chitawan","8 Children",180,0,0,0,12,30,51,87
50,3,35,9,"Chitawan","9 & More Children",84,0,0,0,1,7,26,50
50,4,36,-1,"Gorkha","Total",50864,1731,7067,9225,8766,8532,8313,7230
50,4,36,0,"Gorkha","No Children/No Birth",6434,974,2038,1140,589,407,538,748
50,4,36,1,"Gorkha","1 Children",12103,653,3702,3598,1740,1029,754,627
50,4,36,2,"Gorkha","2 Children",17502,95,1163,3540,4321,3734,2874,1775
50,4,36,3,"Gorkha","3 Children",8958,8,134,766,1545,2209,2340,1956
50,4,36,4,"Gorkha","4 Children",3621,1,27,145,410,794,1104,1140
50,4,36,5,"Gorkha","5 Children",1405,0,3,27,122,251,449,553
50,4,36,6,"Gorkha","6 Children",537,0,0,7,28,67,159,276
50,4,36,7,"Gorkha","7 Children",179,0,0,2,10,25,52,90
50,4,36,8,"Gorkha","8 Children",93,0,0,0,1,10,27,55
50,4,36,9,"Gorkha","9 & More Children",32,0,0,0,0,6,16,10
50,4,37,-1,"Manang","Total",952,20,85,167,196,159,168,157
50,4,37,0,"Manang","No Children/No Birth",114,11,24,22,17,14,13,13
50,4,37,1,"Manang","1 Children",334,9,51,105,77,35,27,30
50,4,37,2,"Manang","2 Children",324,0,7,36,87,66,72,56
50,4,37,3,"Manang","3 Children",120,0,3,4,13,32,28,40
50,4,37,4,"Manang","4 Children",40,0,0,0,2,6,21,11
50,4,37,5,"Manang","5 Children",17,0,0,0,0,6,5,6
50,4,37,6,"Manang","6 Children",3,0,0,0,0,0,2,1
50,4,38,-1,"Mustang","Total",2245,41,219,392,414,419,383,377
50,4,38,0,"Mustang","No Children/No Birth",322,23,73,68,52,35,26,45
50,4,38,1,"Mustang","1 Children",539,15,108,155,97,65,57,42
50,4,38,2,"Mustang","2 Children",742,3,32,135,164,161,133,114
50,4,38,3,"Mustang","3 Children",429,0,6,28,74,114,109,98
50,4,38,4,"Mustang","4 Children",138,0,0,5,22,30,38,43
50,4,38,5,"Mustang","5 Children",54,0,0,0,3,10,13,28
50,4,38,6,"Mustang","6 Children",15,0,0,1,2,2,6,4
50,4,38,7,"Mustang","7 Children",2,0,0,0,0,0,1,1
50,4,38,8,"Mustang","8 Children",4,0,0,0,0,2,0,2
50,4,39,-1,"Myagdi","Total",20876,882,3039,3916,3623,3498,3197,2721
50,4,39,0,"Myagdi","No Children/No Birth",2430,457,711,446,213,179,178,246
50,4,39,1,"Myagdi","1 Children",4511,364,1519,1238,571,353,230,236
50,4,39,2,"Myagdi","2 Children",7349,55,695,1727,1816,1419,1031,606
50,4,39,3,"Myagdi","3 Children",3887,5,104,407,770,979,947,675
50,4,39,4,"Myagdi","4 Children",1599,1,8,81,187,364,473,485
50,4,39,5,"Myagdi","5 Children",662,0,2,14,49,124,216,257
50,4,39,6,"Myagdi","6 Children",274,0,0,2,12,54,80,126
50,4,39,7,"Myagdi","7 Children",109,0,0,1,4,18,29,57
50,4,39,8,"Myagdi","8 Children",39,0,0,0,1,7,10,21
50,4,39,9,"Myagdi","9 & More Children",16,0,0,0,0,1,3,12
50,4,40,-1,"Kaski","Total",130717,2474,14071,24727,26167,25195,21583,16500
50,4,40,0,"Kaski","No Children/No Birth",17394,1465,5342,4726,2174,1299,1133,1255
50,4,40,1,"Kaski","1 Children",35815,894,6682,10960,7817,4541,2901,2020
50,4,40,2,"Kaski","2 Children",53950,109,1823,7803,13030,13767,10759,6659
50,4,40,3,"Kaski","3 Children",17395,5,192,1075,2594,4405,4900,4224
50,4,40,4,"Kaski","4 Children",4398,1,28,143,456,895,1360,1515
50,4,40,5,"Kaski","5 Children",1220,0,4,19,69,208,378,542
50,4,40,6,"Kaski","6 Children",374,0,0,1,22,56,109,186
50,4,40,7,"Kaski","7 Children",110,0,0,0,5,15,28,62
50,4,40,8,"Kaski","8 Children",46,0,0,0,0,7,12,27
50,4,40,9,"Kaski","9 & More Children",15,0,0,0,0,2,3,10
50,4,41,-1,"Lamjung","Total",32069,1012,4211,6026,5785,5705,4835,4495
50,4,41,0,"Lamjung","No Children/No Birth",4303,568,1284,913,400,343,327,468
50,4,41,1,"Lamjung","1 Children",8422,400,2252,2567,1422,819,524,438
50,4,41,2,"Lamjung","2 Children",11974,38,595,2109,2962,2841,2045,1384
50,4,41,3,"Lamjung","3 Children",5095,6,71,378,820,1288,1277,1255
50,4,41,4,"Lamjung","4 Children",1528,0,9,50,140,314,462,553
50,4,41,5,"Lamjung","5 Children",513,0,0,8,35,73,134,263
50,4,41,6,"Lamjung","6 Children",159,0,0,1,4,16,44,94
50,4,41,7,"Lamjung","7 Children",50,0,0,0,1,8,12,29
50,4,41,8,"Lamjung","8 Children",18,0,0,0,1,2,8,7
50,4,41,9,"Lamjung","9 & More Children",7,0,0,0,0,1,2,4
50,4,42,-1,"Tanahu","Total",73118,2766,9852,14049,13488,12603,10904,9456
50,4,42,0,"Tanahu","No Children/No Birth",8604,1527,2969,1827,752,459,443,627
50,4,42,1,"Tanahu","1 Children",19559,1098,5156,6161,3475,1797,1093,779
50,4,42,2,"Tanahu","2 Children",28284,131,1520,5092,6987,6665,4772,3117
50,4,42,3,"Tanahu","3 Children",10838,10,173,788,1791,2612,2864,2600
50,4,42,4,"Tanahu","4 Children",3697,0,24,153,356,729,1090,1345
50,4,42,5,"Tanahu","5 Children",1356,0,9,23,95,237,401,591
50,4,42,6,"Tanahu","6 Children",482,0,1,4,27,66,147,237
50,4,42,7,"Tanahu","7 Children",177,0,0,1,2,28,57,89
50,4,42,8,"Tanahu","8 Children",86,0,0,0,3,9,25,49
50,4,42,9,"Tanahu","9 & More Children",35,0,0,0,0,1,12,22
50,4,43,-1,"Nawalparasi (Bardaghat Susta East)","Total",89709,3094,11771,17657,17341,15910,13638,10298
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","No Children/No Birth",10288,1682,3525,2399,933,586,572,591
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","1 Children",23990,1269,6240,7905,4506,2181,1142,747
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","2 Children",35711,129,1777,6276,9281,8676,6252,3320
50,4,43,3,"Nawalparasi (Bardaghat Susta East)","3 Children",13093,12,195,903,2077,3276,3670,2960
50,4,43,4,"Nawalparasi (Bardaghat Susta East)","4 Children",4353,2,31,150,399,863,1316,1592
50,4,43,5,"Nawalparasi (Bardaghat Susta East)","5 Children",1429,0,3,19,103,238,430,636
50,4,43,6,"Nawalparasi (Bardaghat Susta East)","6 Children",524,0,0,1,27,57,167,272
50,4,43,7,"Nawalparasi (Bardaghat Susta East)","7 Children",204,0,0,4,7,22,61,110
50,4,43,8,"Nawalparasi (Bardaghat Susta East)","8 Children",87,0,0,0,8,11,21,47
50,4,43,9,"Nawalparasi (Bardaghat Susta East)","9 & More Children",30,0,0,0,0,0,7,23
50,4,44,-1,"Syangja","Total",54242,1570,7171,10273,9578,9000,8630,8020
50,4,44,0,"Syangja","No Children/No Birth",6872,977,2286,1444,595,404,480,686
50,4,44,1,"Syangja","1 Children",13693,534,3747,4409,2279,1131,832,761
50,4,44,2,"Syangja","2 Children",20091,48,1014,3705,5037,4581,3421,2285
50,4,44,3,"Syangja","3 Children",9021,11,116,618,1369,2093,2505,2309
50,4,44,4,"Syangja","4 Children",3058,0,7,84,238,587,963,1179
50,4,44,5,"Syangja","5 Children",970,0,0,10,44,140,285,491
50,4,44,6,"Syangja","6 Children",369,0,1,3,10,47,105,203
50,4,44,7,"Syangja","7 Children",115,0,0,0,5,11,27,72
50,4,44,8,"Syangja","8 Children",37,0,0,0,1,5,7,24
50,4,44,9,"Syangja","9 & More Children",16,0,0,0,0,1,5,10
50,4,45,-1,"Parbat","Total",27813,956,3940,5392,4927,4512,4272,3814
50,4,45,0,"Parbat","No Children/No Birth",3184,528,1085,590,248,181,221,331
50,4,45,1,"Parbat","1 Children",6228,375,2050,1900,874,415,330,284
50,4,45,2,"Parbat","2 Children",10507,49,717,2375,2658,2144,1571,993
50,4,45,3,"Parbat","3 Children",5178,4,67,452,879,1259,1368,1149
50,4,45,4,"Parbat","4 Children",1780,0,16,62,199,354,540,609
50,4,45,5,"Parbat","5 Children",620,0,5,8,55,107,159,286
50,4,45,6,"Parbat","6 Children",216,0,0,4,8,37,58,109
50,4,45,7,"Parbat","7 Children",56,0,0,1,5,8,13,29
50,4,45,8,"Parbat","8 Children",27,0,0,0,1,5,7,14
50,4,45,9,"Parbat","9 & More Children",17,0,0,0,0,2,5,10
50,4,46,-1,"Baglung","Total",52734,2291,8303,10197,8966,8434,7754,6789
50,4,46,0,"Baglung","No Children/No Birth",6197,1253,2179,1046,452,325,370,572
50,4,46,1,"Baglung","1 Children",11676,909,4031,3422,1389,763,615,547
50,4,46,2,"Baglung","2 Children",18708,115,1813,4336,4407,3648,2667,1722
50,4,46,3,"Baglung","3 Children",9820,12,248,1130,1964,2376,2221,1869
50,4,46,4,"Baglung","4 Children",3951,2,31,205,583,897,1146,1087
50,4,46,5,"Baglung","5 Children",1467,0,1,51,122,291,452,550
50,4,46,6,"Baglung","6 Children",533,0,0,7,37,84,166,239
50,4,46,7,"Baglung","7 Children",247,0,0,0,10,35,77,125
50,4,46,8,"Baglung","8 Children",95,0,0,0,2,12,29,52
50,4,46,9,"Baglung","9 & More Children",40,0,0,0,0,3,11,26
50,5,47,-1,"Rukum (East)","Total",11303,772,2224,2082,1803,1662,1445,1315
50,5,47,0,"Rukum (East)","No Children/No Birth",1781,394,538,251,184,130,116,168
50,5,47,1,"Rukum (East)","1 Children",2367,328,1035,534,200,107,92,71
50,5,47,2,"Rukum (East)","2 Children",2909,46,535,834,613,426,258,197
