area,prov,dist,sex,area_name,sexname,rowtotal,ca_earlychildhood,ca_primary,ca_lowrsecndry,ca_upprsecndry,ca_others,ca_notstd,neverattnd,cna_earlychildhood,cna_primary,cna_lowrsecndry,cna_upprsecndry,cna_others,cna_notstd,ans_earlychildhood,ans_primary,ans_lowrsecndry,ans_upprsecndry,ans_others,ans_notstd
10,0,0,0,"Nepal","Total",9307529,708156,3175078,1829680,825616,11423,21150,751996,9868,607499,710139,626337,12929,8423,122,1214,198,215,66,7420
10,0,0,1,"Nepal","Male",4690549,389669,1650845,928669,425881,6116,10869,315789,5108,310734,360964,272265,5127,3776,58,606,103,107,39,3824
10,0,0,2,"Nepal","Female",4616980,318487,1524233,901011,399735,5307,10281,436207,4760,296765,349175,354072,7802,4647,64,608,95,108,27,3596
21,0,0,0,"Urban Munipalities","Total",5831481,485677,1993714,1157888,521617,8474,13075,468488,6210,352270,422289,383053,8265,5236,87,690,118,130,47,4153
21,0,0,1,"Urban Munipalities","Male",2967625,269062,1046840,593929,271138,4813,6774,197735,3228,182566,217995,165077,3343,2420,40,357,64,61,27,2156
21,0,0,2,"Urban Munipalities","Female",2863856,216615,946874,563959,250479,3661,6301,270753,2982,169704,204294,217976,4922,2816,47,333,54,69,20,1997
22,0,0,0,"Rural Municipalities","Total",3476048,222479,1181364,671792,303999,2949,8075,283508,3658,255229,287850,243284,4664,3187,35,524,80,85,19,3267
22,0,0,1,"Rural Municipalities","Male",1722924,120607,604005,334740,154743,1303,4095,118054,1880,128168,142969,107188,1784,1356,18,249,39,46,12,1668
22,0,0,2,"Rural Municipalities","Female",1753124,101872,577359,337052,149256,1646,3980,165454,1778,127061,144881,136096,2880,1831,17,275,41,39,7,1599
31,0,0,0,"Mountain","Total",611510,35833,223640,134838,65256,646,1810,30199,510,35077,40983,40467,877,519,0,84,6,13,8,744
31,0,0,1,"Mountain","Male",303691,19084,113150,66885,32653,318,916,12250,223,17928,20440,18801,371,242,0,36,4,6,6,378
31,0,0,2,"Mountain","Female",307819,16749,110490,67953,32603,328,894,17949,287,17149,20543,21666,506,277,0,48,2,7,2,366
32,0,0,0,"Hill","Total",3339741,236110,1202924,750438,323479,5242,8790,97480,2851,199254,268879,232326,3964,3398,77,621,130,115,25,3638
32,0,0,1,"Hill","Male",1697315,129249,625369,379205,163783,3357,4513,43988,1432,105053,135336,100380,1711,1579,38,301,71,61,19,1870
32,0,0,2,"Hill","Female",1642426,106861,577555,371233,159696,1885,4277,53492,1419,94201,133543,131946,2253,1819,39,320,59,54,6,1768
33,0,0,0,"Tarai","Total",5356278,436213,1748514,944404,436881,5535,10550,624317,6507,373168,400277,353544,8088,4506,45,509,62,87,33,3038
33,0,0,1,"Tarai","Male",2689543,241336,912326,482579,229445,2441,5440,259551,3453,187753,205188,153084,3045,1955,20,269,28,40,14,1576
33,0,0,2,"Tarai","Female",2666735,194877,836188,461825,207436,3094,5110,364766,3054,185415,195089,200460,5043,2551,25,240,34,47,19,1462
40,1,0,0,"Province-1","Total",1476141,116987,513845,298150,126566,712,2111,70001,1047,92019,125963,126374,1312,857,0,7,0,0,9,181
40,1,0,1,"Province-1","Male",746496,62937,263368,150363,64879,418,1165,30858,522,50259,66457,54258,545,369,0,5,0,0,5,88
40,1,0,2,"Province-1","Female",729645,54050,250477,147787,61687,294,946,39143,525,41760,59506,72116,767,488,0,2,0,0,4,93
40,2,0,0,"Madhesh","Total",2363188,169498,741777,368802,180751,2902,3707,462785,2682,158294,142086,124163,3854,1262,4,53,2,7,7,552
40,2,0,1,"Madhesh","Male",1181783,95164,387208,190694,99612,1259,2009,190796,1498,79550,74786,56870,1444,546,1,33,1,5,3,304
40,2,0,2,"Madhesh","Female",1181405,74334,354569,178108,81139,1643,1698,271989,1184,78744,67300,67293,2410,716,3,20,1,2,4,248
40,3,0,0,"Bagmati","Total",1481091,123284,528970,330926,135892,3957,2434,49487,1137,97375,118341,85582,2215,1304,0,7,1,0,15,164
40,3,0,1,"Bagmati","Male",776374,67961,278922,169660,69685,2838,1323,23594,623,54751,65432,39736,1080,663,0,4,1,0,10,91
40,3,0,2,"Bagmati","Female",704717,55323,250048,161266,66207,1119,1111,25893,514,42624,52909,45846,1135,641,0,3,0,0,5,73
40,4,0,0,"Gandaki","Total",643899,51481,231263,149848,66227,538,3223,11903,853,32862,50151,41169,494,938,70,337,96,95,16,2335
40,4,0,1,"Gandaki","Male",330832,28556,122345,76374,34325,241,1679,5708,424,17492,24021,17437,218,465,36,174,48,50,13,1226
40,4,0,2,"Gandaki","Female",313067,22925,108918,73474,31902,297,1544,6195,429,15370,26130,23732,276,473,34,163,48,45,3,1109
40,5,0,0,"Lumbini","Total",1737700,141784,583341,327270,144380,2087,4828,97167,2602,144622,161353,120449,2981,2331,33,428,53,59,12,1920
40,5,0,1,"Lumbini","Male",867127,77707,303927,164957,72976,863,2338,40620,1319,70001,78095,51002,1055,1003,15,221,26,27,4,971
40,5,0,2,"Lumbini","Female",870573,64077,279414,162313,71404,1224,2490,56547,1283,74621,83258,69447,1926,1328,18,207,27,32,8,949
40,6,0,0,"Karnali","Total",630422,34627,229952,140985,69253,637,2301,25018,505,30508,44806,48954,626,696,6,165,24,23,5,1331
40,6,0,1,"Karnali","Male",311599,18760,117227,70508,34616,307,1109,10285,225,14996,21544,20669,265,309,4,74,15,9,3,674
40,6,0,2,"Karnali","Female",318823,15867,112725,70477,34637,330,1192,14733,280,15512,23262,28285,361,387,2,91,9,14,2,657
40,7,0,0,"Sudur Paschim","Total",975088,70495,345930,213699,102547,590,2546,35635,1042,51819,67439,79646,1447,1035,9,217,22,31,2,937
40,7,0,1,"Sudur Paschim","Male",476338,38584,177848,106113,49788,190,1246,13928,497,23685,30629,32293,520,421,2,95,12,16,1,470
40,7,0,2,"Sudur Paschim","Female",498750,31911,168082,107586,52759,400,1300,21707,545,28134,36810,47353,927,614,7,122,10,15,1,467
50,1,1,0,"Taplejung","Total",40175,1748,13821,8639,3714,13,71,1093,33,2437,3930,4605,37,34,0,0,0,0,0,0
50,1,1,1,"Taplejung","Male",20618,952,6945,4329,1923,6,45,574,16,1503,2152,2135,17,21,0,0,0,0,0,0
50,1,1,2,"Taplejung","Female",19557,796,6876,4310,1791,7,26,519,17,934,1778,2470,20,13,0,0,0,0,0,0
50,1,2,0,"Sankhuwasabha","Total",51650,3110,18228,10986,4717,12,87,1473,20,3895,5266,3771,42,34,0,0,0,0,3,6
50,1,2,1,"Sankhuwasabha","Male",26576,1662,9381,5540,2469,6,48,731,7,2322,2600,1771,16,15,0,0,0,0,2,6
50,1,2,2,"Sankhuwasabha","Female",25074,1448,8847,5446,2248,6,39,742,13,1573,2666,2000,26,19,0,0,0,0,1,0
50,1,3,0,"Solukhumbu","Total",32508,1807,11792,7327,3085,56,98,942,18,2550,2796,1968,56,9,0,2,0,0,0,2
50,1,3,1,"Solukhumbu","Male",16798,931,6089,3660,1577,40,75,451,13,1514,1476,939,27,4,0,2,0,0,0,0
50,1,3,2,"Solukhumbu","Female",15710,876,5703,3667,1508,16,23,491,5,1036,1320,1029,29,5,0,0,0,0,0,2
50,1,4,0,"Okhaldhunga","Total",41919,1771,14494,9735,4774,35,57,1453,14,2805,3446,3234,67,32,0,1,0,0,0,1
50,1,4,1,"Okhaldhunga","Male",21168,917,7367,4857,2369,20,28,664,7,1517,1844,1538,24,14,0,1,0,0,0,1
50,1,4,2,"Okhaldhunga","Female",20751,854,7127,4878,2405,15,29,789,7,1288,1602,1696,43,18,0,0,0,0,0,0
50,1,5,0,"Khotang","Total",58352,2610,20281,13134,6156,33,84,1995,31,3174,4668,6138,28,17,0,0,0,0,0,3
50,1,5,1,"Khotang","Male",29613,1410,10201,6536,3129,17,52,1004,11,1828,2446,2965,6,7,0,0,0,0,0,1
50,1,5,2,"Khotang","Female",28739,1200,10080,6598,3027,16,32,991,20,1346,2222,3173,22,10,0,0,0,0,0,2
50,1,6,0,"Bhojpur","Total",50770,2484,17755,11064,4182,20,85,1196,19,3275,5028,5600,27,29,0,0,0,0,0,6
50,1,6,1,"Bhojpur","Male",25919,1278,8950,5569,2204,9,44,585,10,1937,2585,2723,8,14,0,0,0,0,0,3
50,1,6,2,"Bhojpur","Female",24851,1206,8805,5495,1978,11,41,611,9,1338,2443,2877,19,15,0,0,0,0,0,3
50,1,7,0,"Dhankuta","Total",42588,2927,14805,9353,3750,7,53,736,17,2122,4326,4424,38,22,0,0,0,0,0,8
50,1,7,1,"Dhankuta","Male",22007,1605,7602,4672,1960,3,26,373,7,1297,2424,1999,23,13,0,0,0,0,0,3
50,1,7,2,"Dhankuta","Female",20581,1322,7203,4681,1790,4,27,363,10,825,1902,2425,15,9,0,0,0,0,0,5
50,1,8,0,"Terhathum","Total",25635,1484,9328,5594,2437,5,34,551,13,1114,2177,2869,13,9,0,1,0,0,0,6
50,1,8,1,"Terhathum","Male",13094,782,4715,2817,1301,2,16,288,5,654,1179,1323,5,2,0,1,0,0,0,4
50,1,8,2,"Terhathum","Female",12541,702,4613,2777,1136,3,18,263,8,460,998,1546,8,7,0,0,0,0,0,2
50,1,9,0,"Panchthar","Total",52803,3282,17811,11522,4798,5,97,942,27,2417,5556,6277,29,33,0,0,0,0,0,7
50,1,9,1,"Panchthar","Male",27389,1762,8932,5802,2576,2,66,509,8,1605,3196,2897,16,13,0,0,0,0,0,5
50,1,9,2,"Panchthar","Female",25414,1520,8879,5720,2222,3,31,433,19,812,2360,3380,13,20,0,0,0,0,0,2
50,1,10,0,"Ilam","Total",72612,4887,24059,15192,7232,26,102,1315,55,3404,8168,8068,54,49,0,0,0,0,0,1
50,1,10,1,"Ilam","Male",37635,2583,12474,7725,3725,13,58,684,25,2162,4673,3459,29,24,0,0,0,0,0,1
50,1,10,2,"Ilam","Female",34977,2304,11585,7467,3507,13,44,631,30,1242,3495,4609,25,25,0,0,0,0,0,0
50,1,11,0,"Jhapa","Total",273973,27039,99060,56704,23261,153,404,8277,199,14858,22223,21350,235,169,0,2,0,0,0,39
50,1,11,1,"Jhapa","Male",138431,14534,51215,28637,11737,115,204,3632,100,7991,11696,8388,83,80,0,1,0,0,0,18
50,1,11,2,"Jhapa","Female",135542,12505,47845,28067,11524,38,200,4645,99,6867,10527,12962,152,89,0,1,0,0,0,21
50,1,12,0,"Morang","Total",334289,30886,115236,64167,26687,110,267,22299,220,21507,25846,26509,296,176,0,0,0,0,4,79
50,1,12,1,"Morang","Male",167438,16630,59104,32500,13678,42,141,9320,121,11257,13444,10979,117,66,0,0,0,0,3,36
50,1,12,2,"Morang","Female",166851,14256,56132,31667,13009,68,126,12979,99,10250,12402,15530,179,110,0,0,0,0,1,43
50,1,13,0,"Sunsari","Total",285858,25313,97995,51439,22128,210,530,23255,300,20880,21478,21824,314,172,0,1,0,0,2,17
50,1,13,1,"Sunsari","Male",142928,13739,50300,26149,11460,134,293,9973,156,10545,10831,9125,145,72,0,0,0,0,0,6
50,1,13,2,"Sunsari","Female",142930,11574,47695,25290,10668,76,237,13282,144,10335,10647,12699,169,100,0,1,0,0,2,11
50,1,14,0,"Udayapur","Total",113009,7639,39180,23294,9645,27,142,4474,81,7581,11055,9737,76,72,0,0,0,0,0,6
50,1,14,1,"Udayapur","Male",56882,4152,20093,11570,4771,9,69,2070,36,4127,5911,4017,29,24,0,0,0,0,0,4
50,1,14,2,"Udayapur","Female",56127,3487,19087,11724,4874,18,73,2404,45,3454,5144,5720,47,48,0,0,0,0,0,2
50,2,15,0,"Saptari","Total",245857,17104,80842,41705,21562,152,142,35127,222,15418,15081,17901,451,116,0,1,0,0,0,33
50,2,15,1,"Saptari","Male",122191,9757,42397,21374,11730,61,76,13532,120,7257,7696,7963,168,42,0,1,0,0,0,17
50,2,15,2,"Saptari","Female",123666,7347,38445,20331,9832,91,66,21595,102,8161,7385,9938,283,74,0,0,0,0,0,16
50,2,16,0,"Siraha","Total",276755,23477,89190,44213,23615,254,690,46326,368,16273,15346,16262,395,209,2,26,1,3,2,103
50,2,16,1,"Siraha","Male",137809,13670,47518,22944,12846,81,409,18670,189,7721,6991,6487,118,89,1,16,1,3,0,55
50,2,16,2,"Siraha","Female",138946,9807,41672,21269,10769,173,281,27656,179,8552,8355,9775,277,120,1,10,0,0,2,48
50,2,17,0,"Dhanusa","Total",325386,27166,104469,51283,25750,299,278,56618,303,18445,20386,19778,289,209,0,2,0,0,5,106
50,2,17,1,"Dhanusa","Male",160434,15609,55299,26740,14482,156,150,22245,158,8670,8833,7839,111,82,0,2,0,0,3,55
50,2,17,2,"Dhanusa","Female",164952,11557,49170,24543,11268,143,128,34373,145,9775,11553,11939,178,127,0,0,0,0,2,51
50,2,18,0,"Mahottari","Total",278524,19748,85253,43653,21863,174,232,62207,311,16345,14877,13403,267,88,2,11,0,1,0,89
50,2,18,1,"Mahottari","Male",136929,11039,43745,22324,12170,82,119,25659,181,7943,7339,6159,75,38,0,5,0,1,0,50
50,2,18,2,"Mahottari","Female",141595,8709,41508,21329,9693,92,113,36548,130,8402,7538,7244,192,50,2,6,0,0,0,39
50,2,19,0,"Sarlahi","Total",337574,22122,102215,52515,24840,181,494,80328,364,21175,18226,14712,192,111,0,4,0,0,0,95
50,2,19,1,"Sarlahi","Male",169794,12544,53055,27231,13654,87,265,34110,207,11204,10287,6965,77,50,0,3,0,0,0,55
50,2,19,2,"Sarlahi","Female",167780,9578,49160,25284,11186,94,229,46218,157,9971,7939,7747,115,61,0,1,0,0,0,40
50,2,20,0,"Rautahat","Total",344481,20771,104030,46536,21571,1577,822,92158,376,24036,17568,12911,1825,267,0,4,0,0,0,29
50,2,20,1,"Rautahat","Male",171460,11196,53691,24352,12092,669,420,38784,221,12330,10157,6701,703,121,0,3,0,0,0,20
50,2,20,2,"Rautahat","Female",173021,9575,50339,22184,9479,908,402,53374,155,11706,7411,6210,1122,146,0,1,0,0,0,9
50,2,21,0,"Bara","Total",301391,20378,93991,47014,21945,109,686,54830,405,24310,21167,16137,225,177,0,0,0,1,0,16
50,2,21,1,"Bara","Male",153581,11077,48937,24191,11849,47,365,23275,240,13005,12248,8146,107,87,0,0,0,0,0,7
50,2,21,2,"Bara","Female",147810,9301,45054,22823,10096,62,321,31555,165,11305,8919,7991,118,90,0,0,0,1,0,9
50,2,22,0,"Parsa","Total",253220,18732,81787,41883,19605,156,363,35191,333,22292,19435,13059,210,85,0,5,1,2,0,81
50,2,22,1,"Parsa","Male",129585,10272,42566,21538,10789,76,205,14521,182,11420,11235,6610,85,37,0,3,0,1,0,45
50,2,22,2,"Parsa","Female",123635,8460,39221,20345,8816,80,158,20670,151,10872,8200,6449,125,48,0,2,1,1,0,36
50,3,23,0,"Dolakha","Total",47600,3070,16778,11117,5155,38,59,1232,23,2811,4027,3185,61,34,0,0,0,0,0,10
50,3,23,1,"Dolakha","Male",23999,1689,8447,5529,2530,16,31,581,11,1504,2140,1471,25,17,0,0,0,0,0,8
50,3,23,2,"Dolakha","Female",23601,1381,8331,5588,2625,22,28,651,12,1307,1887,1714,36,17,0,0,0,0,0,2
50,3,24,0,"Sindhupalchok","Total",74803,4578,25744,16307,7286,61,136,3210,44,5898,6601,4719,143,73,0,0,0,0,0,3
50,3,24,1,"Sindhupalchok","Male",37677,2409,13025,7947,3557,17,68,1490,20,3168,3637,2242,63,32,0,0,0,0,0,2
50,3,24,2,"Sindhupalchok","Female",37126,2169,12719,8360,3729,44,68,1720,24,2730,2964,2477,80,41,0,0,0,0,0,1
50,3,25,0,"Rasuwa","Total",13813,863,4929,2741,1273,9,14,569,4,945,1268,1101,87,7,0,0,0,0,0,3
50,3,25,1,"Rasuwa","Male",7048,446,2529,1305,653,7,9,248,2,512,720,570,41,3,0,0,0,0,0,3
50,3,25,2,"Rasuwa","Female",6765,417,2400,1436,620,2,5,321,2,433,548,531,46,4,0,0,0,0,0,0
50,3,26,0,"Dhading","Total",96095,6266,33774,21215,8888,28,154,3179,54,8172,8584,5509,188,67,0,1,1,0,1,14
50,3,26,1,"Dhading","Male",48868,3399,17334,10551,4407,10,95,1445,31,4603,4396,2460,94,34,0,0,1,0,1,7
50,3,26,2,"Dhading","Female",47227,2867,16440,10664,4481,18,59,1734,23,3569,4188,3049,94,33,0,1,0,0,0,7
50,3,27,0,"Nuwakot","Total",75013,4891,26748,15923,6701,53,78,2750,36,5473,6651,5522,103,69,0,0,0,0,1,14
50,3,27,1,"Nuwakot","Male",37815,2681,13433,7870,3230,19,48,1242,19,3016,3588,2584,46,31,0,0,0,0,1,7
50,3,27,2,"Nuwakot","Female",37198,2210,13315,8053,3471,34,30,1508,17,2457,3063,2938,57,38,0,0,0,0,0,7
50,3,28,0,"Kathmandu","Total",404864,44188,150572,97992,36966,3251,508,10937,465,17317,24280,17282,681,388,0,2,0,0,3,32
50,3,28,1,"Kathmandu","Male",220033,24660,81989,52150,20015,2437,314,5481,276,10079,13940,8084,368,214,0,2,0,0,3,21
50,3,28,2,"Kathmandu","Female",184831,19528,68583,45842,16951,814,194,5456,189,7238,10340,9198,313,174,0,0,0,0,0,11
50,3,29,0,"Bhaktapur","Total",86598,9517,33034,19904,8149,64,216,1934,48,3996,5328,4202,116,85,0,1,0,0,1,3
50,3,29,1,"Bhaktapur","Male",46964,5347,18022,10606,4405,31,115,946,25,2257,3086,2025,52,46,0,1,0,0,0,0
50,3,29,2,"Bhaktapur","Female",39634,4170,15012,9298,3744,33,101,988,23,1739,2242,2177,64,39,0,0,0,0,1,3
50,3,30,0,"Lalitpur","Total",112533,10583,41002,26486,11821,192,286,2959,73,5672,7269,5896,139,145,0,1,0,0,1,8
50,3,30,1,"Lalitpur","Male",59796,5792,21873,13788,6079,161,135,1463,38,3259,4206,2842,81,75,0,0,0,0,0,4
50,3,30,2,"Lalitpur","Female",52737,4791,19129,12698,5742,31,151,1496,35,2413,3063,3054,58,70,0,1,0,0,1,4
